date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:47:22	101935/101935	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20Oct%202023%2007:59:14%20GMT	https://bizweb.dktcdn.net/100/429/689/products/dien-thoai-samsung-galaxy-s21-ultra-5g-256g-g998b-bac-h0l175-b6ac0e17-afc8-42a9-bb4f-aecaf81ad7e2.jpg?v=1623565400993	E:/xampp/htdocs/LapTop_Tuan/bizweb.dktcdn.net/100/429/689/products/dien-thoai-samsung-galaxy-s21-ultra-5g-256g-g998b-bac-h0l175-b6ac0e17-afc8-42a9-bb4f-aecaf81ad7e2d72a.jpg	(from https://pocomart.mysapo.net/)
16:47:24	11627/11627	---M--	200	added ('OK')	image/jpeg	date:Tue,%2008%20Aug%202023%2002:29:25%20GMT	http://bizweb.dktcdn.net/thumb/compact/100/429/689/products/iphone-12-pro-max-xanh-561e05b7-eed5-40c8-9065-49b5a1cea423.jpg?v=1623565125390	E:/xampp/htdocs/LapTop_Tuan/bizweb.dktcdn.net/thumb/compact/100/429/689/products/iphone-12-pro-max-xanh-561e05b7-eed5-40c8-9065-49b5a1cea4239935.jpg	(from https://pocomart.mysapo.net/)
16:47:25	21240/21240	---M--	200	added ('OK')	image/jpeg	date:Sat,%2015%20Jul%202023%2008:07:22%20GMT	http://bizweb.dktcdn.net/thumb/medium/100/429/689/products/iphone-12-pro-max-xanh-561e05b7-eed5-40c8-9065-49b5a1cea423.jpg?v=1623565125390	E:/xampp/htdocs/LapTop_Tuan/bizweb.dktcdn.net/thumb/medium/100/429/689/products/iphone-12-pro-max-xanh-561e05b7-eed5-40c8-9065-49b5a1cea4239935.jpg	(from https://pocomart.mysapo.net/)
16:47:27	327094/327094	---M-Z	200	added ('OK')	text/html	etag:W/%2281ffec6f615d47140c8ba952c64f48df%22	https://pocomart.mysapo.net/iphone-xr-chinh-hang-vn-a	E:/xampp/htdocs/LapTop_Tuan/pocomart.mysapo.net/iphone-xr-chinh-hang-vn-a.html	(from https://pocomart.mysapo.net/)
16:47:27	50624/50624	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20Oct%202023%2007:59:15%20GMT	https://bizweb.dktcdn.net/100/429/689/products/iphone-12-pro-max-xanh-561e05b7-eed5-40c8-9065-49b5a1cea423.jpg?v=1623565125390	E:/xampp/htdocs/LapTop_Tuan/bizweb.dktcdn.net/100/429/689/products/iphone-12-pro-max-xanh-561e05b7-eed5-40c8-9065-49b5a1cea4239935.jpg	(from https://pocomart.mysapo.net/)
16:47:30	14112/14112	---M--	200	added ('OK')	image/jpeg	date:Sun,%2003%20Dec%202023%2010:05:18%20GMT	http://bizweb.dktcdn.net/thumb/compact/100/429/689/products/iphone-xr-mau-vang-didongviet-1-1-2.jpg?v=1623561749483	E:/xampp/htdocs/LapTop_Tuan/bizweb.dktcdn.net/thumb/compact/100/429/689/products/iphone-xr-mau-vang-didongviet-1-1-2c17e.jpg	(from https://pocomart.mysapo.net/)
16:47:32	25994/25994	---M--	200	added ('OK')	image/jpeg	date:Sun,%2003%20Dec%202023%2010:05:17%20GMT	http://bizweb.dktcdn.net/thumb/medium/100/429/689/products/iphone-xr-mau-vang-didongviet-1-1-2.jpg?v=1623561749483	E:/xampp/htdocs/LapTop_Tuan/bizweb.dktcdn.net/thumb/medium/100/429/689/products/iphone-xr-mau-vang-didongviet-1-1-2c17e.jpg	(from https://pocomart.mysapo.net/)
16:47:33	336887/336887	---M-Z	200	added ('OK')	text/html	etag:W/%223a78b62e168867f238e709c108b98c23%22	https://pocomart.mysapo.net/xiaomi-mi-10t-pro-5g	E:/xampp/htdocs/LapTop_Tuan/pocomart.mysapo.net/xiaomi-mi-10t-pro-5g.html	(from https://pocomart.mysapo.net/)
16:47:33	169497/169497	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Jul%202023%2002:40:02%20GMT	https://bizweb.dktcdn.net/100/429/689/products/apple-iphone-12-mini-2-0340d148-dd79-40b3-b8ad-95ed589c7b5a.png?v=1623564588267	E:/xampp/htdocs/LapTop_Tuan/bizweb.dktcdn.net/100/429/689/products/apple-iphone-12-mini-2-0340d148-dd79-40b3-b8ad-95ed589c7b5ab4f9.png	(from https://pocomart.mysapo.net/)
16:47:33	42926/42926	---M--	200	added ('OK')	image/jpeg	date:Sun,%2003%20Dec%202023%2010:05:20%20GMT	https://bizweb.dktcdn.net/100/429/689/products/iphone-xr-mau-vang-didongviet-1-1-2.jpg?v=1623561749483	E:/xampp/htdocs/LapTop_Tuan/bizweb.dktcdn.net/100/429/689/products/iphone-xr-mau-vang-didongviet-1-1-2c17e.jpg	(from https://pocomart.mysapo.net/)
16:47:37	13013/13013	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Nov%202023%2014:49:08%20GMT	http://bizweb.dktcdn.net/thumb/compact/100/429/689/products/xiaomi-mi-10t-pro.jpg?v=1623565104460	E:/xampp/htdocs/LapTop_Tuan/bizweb.dktcdn.net/thumb/compact/100/429/689/products/xiaomi-mi-10t-prod7d7.jpg	(from https://pocomart.mysapo.net/)
16:47:38	281895/281895	---M-Z	200	added ('OK')	text/html	etag:W/%22ef8b0ea0b17da1ecaeb3d392f3abe667%22	https://pocomart.mysapo.net/iphone-12-hang-quoc-te	E:/xampp/htdocs/LapTop_Tuan/pocomart.mysapo.net/iphone-12-hang-quoc-te.html	(from https://pocomart.mysapo.net/)
16:47:38	23293/23293	---M--	200	added ('OK')	image/jpeg	date:Sun,%2003%20Dec%202023%2010:05:21%20GMT	http://bizweb.dktcdn.net/thumb/medium/100/429/689/products/xiaomi-mi-10t-pro.jpg?v=1623565104460	E:/xampp/htdocs/LapTop_Tuan/bizweb.dktcdn.net/thumb/medium/100/429/689/products/xiaomi-mi-10t-prod7d7.jpg	(from https://pocomart.mysapo.net/)
16:47:40	40876/40876	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20Jul%202023%2003:59:00%20GMT	https://bizweb.dktcdn.net/100/429/689/products/xiaomi-mi-10t-pro.jpg?v=1623565104460	E:/xampp/htdocs/LapTop_Tuan/bizweb.dktcdn.net/100/429/689/products/xiaomi-mi-10t-prod7d7.jpg	(from https://pocomart.mysapo.net/)
